CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-111,2018,14,0,0.0,12812.0,4676380.0,0.0,Low
M-111,2019,25,0,0.0,14511.25,5296606.25,0.0,Low
M-111,2020,14,0,0.0,,,,Low
M-111,2021,14,1,7.1429,14198.75,5182543.75,19.29554381475313,Medium
M-111,2022,16,0,0.0,15351.5,5603297.5,0.0,Low
M-111,2023,18,0,0.0,14635.0,5341775.0,0.0,Low
M-111,2024,15,0,0.0,16236.4,5926286.0,0.0,Low
M-111 (ANT,2019,1,0,0.0,,,,Low
M-111A,2018,1,0,0.0,,,,Low
M-112,2018,1,0,0.0,3316.0,1210340.0,0.0,Low
M-112,2020,1,0,0.0,,,,Low
M-112,2022,1,0,0.0,2649.0,966885.0,0.0,Low
M-113,2016,13,1,7.6923,,,,Medium
M-113,2017,24,1,4.1667,,,,Low
M-113,2018,12,0,0.0,6860.333333333333,2504021.6666666665,0.0,Low
M-113,2019,20,0,0.0,6586.666666666667,2404133.3333333335,0.0,Low
M-113,2020,15,1,6.6667,,,,Medium
M-113,2021,17,0,0.0,8969.0,3273685.0,0.0,Low
M-113,2022,16,0,0.0,10441.25,3811056.25,0.0,Low
M-113,2023,14,2,14.2857,9166.4,3345736.0,59.77757958189169,Medium
M-113,2024,8,0,0.0,11051.0,4033615.0,0.0,Low
M-114,2016,1,0,0.0,,,,Low
M-114,2017,2,0,0.0,,,,Low
M-114,2019,2,0,0.0,3965.0,1447225.0,0.0,Low
M-114,2020,2,0,0.0,,,,Low
M-114,2021,1,0,0.0,3468.0,1265820.0,0.0,Low
M-115,2016,2,0,0.0,,,,Low
M-115,2017,2,0,0.0,,,,Low
M-115,2018,3,0,0.0,16679.0,6087835.0,0.0,Low
M-115,2019,3,0,0.0,16722.0,6103530.0,0.0,Low
M-115,2021,2,0,0.0,9546.5,3484472.5,0.0,Low
M-115,2022,2,0,0.0,11013.0,4019745.0,0.0,Low
M-115,2023,3,0,0.0,10921.0,3986165.0,0.0,Low
M-116,2016,4,0,0.0,,,,Low
