COD_MUNICIPIO,YEAR,n_total,n_proxy_substance,RADAR_proxy_pct
28015,2020,3,0,0.0
28015,2021,5,0,0.0
28015,2022,4,0,0.0
28015,2023,3,2,66.6667
28015,2024,2,0,0.0
28018,2016,5,0,0.0
28018,2017,2,0,0.0
28018,2018,2,0,0.0
28018,2019,9,0,0.0
28018,2020,5,0,0.0
28018,2021,5,0,0.0
28018,2022,4,0,0.0
28018,2023,2,0,0.0
28018,2024,7,0,0.0
28022,2016,39,0,0.0
28022,2017,40,0,0.0
28022,2018,43,0,0.0
28022,2019,46,0,0.0
28022,2020,25,0,0.0
28022,2021,22,0,0.0
28022,2022,23,0,0.0
28022,2023,26,1,3.8462
28022,2024,21,1,4.7619
28023,2016,8,0,0.0
28023,2017,12,1,8.3333
28023,2018,8,0,0.0
28023,2019,9,0,0.0
28023,2020,12,0,0.0
28023,2021,14,1,7.1429
28023,2022,16,0,0.0
28023,2023,11,0,0.0
28023,2024,4,0,0.0
28026,2016,18,0,0.0
28026,2017,15,0,0.0
28026,2018,16,0,0.0
28026,2019,16,0,0.0
28026,2020,13,0,0.0
28026,2021,15,0,0.0
28026,2022,20,0,0.0
28026,2023,22,0,0.0
28026,2024,20,0,0.0
28032,2016,8,0,0.0
28032,2017,4,0,0.0
28032,2018,3,0,0.0
28032,2019,7,0,0.0
28032,2020,10,0,0.0
28032,2021,7,0,0.0
28032,2022,6,0,0.0
28032,2023,6,0,0.0
28032,2024,3,0,0.0
28033,2016,7,0,0.0
28033,2017,7,0,0.0
28033,2018,4,0,0.0
28033,2019,9,0,0.0
28033,2020,8,0,0.0
28033,2021,11,1,9.0909
28033,2022,6,0,0.0
28033,2023,10,0,0.0
28033,2024,8,0,0.0
28038,2016,5,0,0.0
28038,2017,12,0,0.0
28038,2018,5,0,0.0
28038,2019,9,0,0.0
28038,2020,6,0,0.0
28038,2021,6,0,0.0
28038,2022,7,0,0.0
28038,2023,4,0,0.0
28038,2024,9,0,0.0
28040,2016,5,0,0.0
28040,2017,12,0,0.0
28040,2018,22,1,4.5455
28040,2019,11,0,0.0
28040,2020,14,0,0.0
28040,2021,11,0,0.0
28040,2022,14,0,0.0
28040,2023,19,0,0.0
28040,2024,12,0,0.0
28041,2016,5,0,0.0
28041,2017,6,0,0.0
28041,2018,2,0,0.0
28041,2019,2,0,0.0
28041,2020,2,0,0.0
28041,2021,9,0,0.0
