TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_year,rel_freq_pct
Salida de la vía por la izquierda con vuelco,2016,121,3158,3.8315
Salida de la vía por la izquierda con vuelco,2017,101,3243,3.1144
Salida de la vía por la izquierda con vuelco,2018,92,3267,2.816
Salida de la vía por la izquierda con vuelco,2019,109,3228,3.3767
Salida de la vía por la izquierda con vuelco,2020,67,2075,3.2289
Salida de la vía por la izquierda con vuelco,2021,78,2647,2.9467
Salida de la vía por la izquierda con vuelco,2022,74,2927,2.5282
Salida de la vía por la izquierda con vuelco,2023,70,2860,2.4476
Salida de la vía por la izquierda con vuelco,2024,53,2645,2.0038
"Salida de la vía por la izquierda, otro tipo",2016,121,3158,3.8315
"Salida de la vía por la izquierda, otro tipo",2017,93,3243,2.8677
"Salida de la vía por la izquierda, otro tipo",2018,124,3267,3.7955
"Salida de la vía por la izquierda, otro tipo",2019,90,3228,2.7881
"Salida de la vía por la izquierda, otro tipo",2020,71,2075,3.4217
"Salida de la vía por la izquierda, otro tipo",2021,89,2647,3.3623
"Salida de la vía por la izquierda, otro tipo",2022,90,2927,3.0748
"Salida de la vía por la izquierda, otro tipo",2023,85,2860,2.972
"Salida de la vía por la izquierda, otro tipo",2024,97,2645,3.6673
Sólo salida de la vía,2019,0,3228,0.0
Sólo salida de la vía,2020,0,2075,0.0
Sólo salida de la vía,2021,0,2647,0.0
Sólo salida de la vía,2022,0,2927,0.0
Sólo salida de la vía,2023,0,2860,0.0
Sólo salida de la vía,2024,0,2645,0.0
Vuelco,2016,16,3158,0.5066
Vuelco,2017,5,3243,0.1542
Vuelco,2018,12,3267,0.3673
Vuelco,2019,11,3228,0.3408
Vuelco,2020,7,2075,0.3373
Vuelco,2021,12,2647,0.4533
Vuelco,2022,17,2927,0.5808
Vuelco,2023,15,2860,0.5245
Vuelco,2024,10,2645,0.3781
