SECCION_ID,YEAR,n_accidents,n_fatal,n_serious,n_victims_30d,n_vehicles_inv,imd_mean,vehicle_passages,ACI,aci_mean,aci_std,threshold_TCA,IS_TCA,ACI_rank_year,CARRETERA
A-1_28,2021,5,0,0,13,10,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_28,2022,4,0,0,6,8,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_28,2023,4,0,0,6,8,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_28,2024,1,0,0,1,2,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_29,2016,3,0,0,3,7,,,,,,,0,1,A-1
A-1_29,2017,1,0,0,1,3,,,,,,,0,1,A-1
A-1_29,2018,2,0,0,2,6,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_29,2019,5,0,0,8,8,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_29,2020,1,0,0,4,2,,,,,,,0,1,A-1
A-1_29,2021,1,0,0,2,2,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_29,2022,1,0,1,3,3,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_29,2023,3,0,0,10,14,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_29,2024,2,0,0,4,6,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_30,2016,2,0,0,3,3,,,,,,,0,1,A-1
A-1_30,2017,1,0,0,1,1,,,,,,,0,1,A-1
A-1_30,2018,2,0,0,2,2,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_30,2019,1,0,0,1,1,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_30,2020,1,0,0,1,1,,,,,,,0,1,A-1
A-1_30,2021,1,0,0,2,3,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
