CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
M-410,2023,5,1,0,1.0,25.0,False
M-410,2024,6,0,0,1.0,20.0,False
M-413,2016,16,0,0,,,False
M-413,2017,18,0,1,2.0,12.5,False
M-413,2018,7,0,1,-11.0,-61.11,False
M-413,2019,13,0,0,6.0,85.71,False
M-413,2020,6,0,0,-7.0,-53.85,True
M-413,2021,11,0,2,5.0,83.33,True
M-413,2022,15,0,1,4.0,36.36,False
M-413,2023,7,0,0,-8.0,-53.33,False
M-413,2024,9,0,0,2.0,28.57,False
M-415,2016,6,0,0,,,False
M-415,2017,2,0,0,-4.0,-66.67,False
M-415,2018,1,0,0,-1.0,-50.0,False
M-415,2019,5,0,1,4.0,400.0,False
M-415,2020,1,0,0,-4.0,-80.0,True
M-415,2021,4,0,1,3.0,300.0,True
M-415,2022,1,0,0,-3.0,-75.0,False
M-415,2023,3,0,1,2.0,200.0,False
M-415,2024,3,0,1,0.0,0.0,False
M-416,2018,1,0,0,,,False
M-416,2019,1,0,0,0.0,0.0,False
M-416A,2018,1,0,0,,,False
M-416RE1,2022,1,0,0,,,False
M-416RE1,2024,1,0,0,0.0,0.0,False
M-417,2017,4,0,0,,,False
M-417,2018,5,0,0,1.0,25.0,False
M-417,2019,3,0,0,-2.0,-40.0,False
M-417,2020,2,0,1,-1.0,-33.33,True
M-417,2021,3,0,0,1.0,50.0,True
M-417,2022,1,0,0,-2.0,-66.67,False
M-417,2023,2,0,1,1.0,100.0,False
M-417,2024,3,0,0,1.0,50.0,False
M-419,2016,3,0,0,,,False
M-419,2017,1,0,1,-2.0,-66.67,False
M-419,2018,3,0,0,2.0,200.0,False
M-419,2019,1,0,0,-2.0,-66.67,False
M-419,2020,3,0,0,2.0,200.0,True
M-419,2021,2,1,0,-1.0,-33.33,True
M-419,2022,1,0,0,-1.0,-50.0,False
M-419,2023,2,0,0,1.0,100.0,False
M-419,2024,5,0,1,3.0,150.0,False
M-421,2016,2,0,0,,,False
M-421,2017,2,0,0,0.0,0.0,False
M-421,2018,2,0,0,0.0,0.0,False
M-421,2019,5,0,0,3.0,150.0,False
M-421,2020,4,0,0,-1.0,-20.0,True
M-421,2021,3,0,0,-1.0,-25.0,True
M-421,2022,3,0,0,0.0,0.0,False
M-421,2023,1,0,0,-2.0,-66.67,False
M-421,2024,1,0,0,0.0,0.0,False
M-423,2016,5,0,0,,,False
M-423,2017,5,0,0,0.0,0.0,False
M-423,2018,11,0,0,6.0,120.0,False
M-423,2019,3,0,0,-8.0,-72.73,False
M-423,2020,3,1,0,0.0,0.0,True
M-423,2021,4,0,1,1.0,33.33,True
M-423,2022,4,0,0,0.0,0.0,False
M-423,2023,11,0,0,7.0,175.0,False
M-423,2024,3,0,0,-8.0,-72.73,False
M-425,2016,4,0,0,,,False
M-425,2017,5,0,1,1.0,25.0,False
