CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-1A,Colisión por alcance,2021,1,3,33.3333
A-1A,Salida de la vía por la derecha con vuelco,2016,1,2,50.0
A-1A,Salida de la vía por la derecha con vuelco,2021,1,3,33.3333
A-1A,Salida de la vía por la derecha otro tipo,2018,1,3,33.3333
A-1A,Salida de la vía por la derecha otro tipo,2022,1,2,50.0
A-1A,Salida de la vía por la izquierda con colisión,2020,1,1,100.0
A-1A,Salida de la vía por la izquierda con vuelco,2024,1,2,50.0
A-1A,"Salida de la vía por la izquierda, otro tipo",2018,1,3,33.3333
A-2,Atropello a animales,2023,1,168,0.5952
A-2,Atropello a personas,2016,3,181,1.6575
A-2,Atropello a personas,2018,2,183,1.0929
A-2,Atropello a personas,2019,1,151,0.6623
A-2,Atropello a personas,2021,1,135,0.7407
A-2,Atropello a personas,2022,5,203,2.4631
A-2,Atropello a personas,2023,2,168,1.1905
A-2,Caída,2016,2,181,1.105
A-2,Caída,2017,8,166,4.8193
A-2,Caída,2018,18,183,9.8361
A-2,Caída,2019,5,151,3.3113
A-2,Caída,2020,2,100,2.0
A-2,Caída,2021,4,135,2.963
A-2,Caída,2022,6,203,2.9557
A-2,Caída,2023,6,168,3.5714
A-2,Caída,2024,3,106,2.8302
A-2,Colisión contra obstáculo o elemento de la vía,2016,3,181,1.6575
A-2,Colisión contra obstáculo o elemento de la vía,2018,3,183,1.6393
A-2,Colisión contra obstáculo o elemento de la vía,2020,2,100,2.0
A-2,Colisión contra obstáculo o elemento de la vía,2021,1,135,0.7407
A-2,Colisión contra obstáculo o elemento de la vía,2022,2,203,0.9852
A-2,Colisión contra obstáculo o elemento de la vía,2023,1,168,0.5952
A-2,Colisión contra obstáculo o elemento de la vía,2024,1,106,0.9434
A-2,Colisión frontal,2021,2,135,1.4815
A-2,Colisión frontal,2022,2,203,0.9852
A-2,Colisión fronto-lateral,2016,3,181,1.6575
A-2,Colisión fronto-lateral,2017,6,166,3.6145
A-2,Colisión fronto-lateral,2018,3,183,1.6393
A-2,Colisión fronto-lateral,2019,6,151,3.9735
A-2,Colisión fronto-lateral,2020,4,100,4.0
A-2,Colisión fronto-lateral,2021,3,135,2.2222
A-2,Colisión fronto-lateral,2022,11,203,5.4187
A-2,Colisión fronto-lateral,2023,6,168,3.5714
A-2,Colisión fronto-lateral,2024,2,106,1.8868
A-2,Colisión lateral,2016,20,181,11.0497
A-2,Colisión lateral,2017,22,166,13.253
A-2,Colisión lateral,2018,21,183,11.4754
A-2,Colisión lateral,2019,33,151,21.8543
