SECCION_ID,YEAR,CARRETERA,dominant_cause,n_dominant_accidents
M-521_20,2022,M-521,Colisión lateral,1
M-521_20,2024,M-521,Salida de la vía por la derecha otro tipo,3
M-521_21,2020,M-521,Colisión fronto-lateral,1
M-521_21,2022,M-521,Colisión fronto-lateral,1
M-521_21,2024,M-521,Salida de la vía por la derecha con colisión,1
M-521_23,2019,M-521,Atropello a personas,1
M-521_23,2024,M-521,"Salida de la vía por la izquierda, otro tipo",1
M-521_24,2023,M-521,Salida de la vía por la derecha con colisión,1
M-521_24,2024,M-521,Salida de la vía por la derecha con colisión,1
M-521_25,2016,M-521,Salida de la vía por la derecha otro tipo,1
M-521_25,2021,M-521,Salida de la vía por la derecha otro tipo,1
M-521_25,2022,M-521,Salida de la vía por la derecha con colisión,1
M-521_25,2023,M-521,Colisión lateral,1
M-521_26,2016,M-521,Colisión por alcance,1
M-521_26,2017,M-521,Colisión por alcance,1
M-521_26,2018,M-521,Salida de la vía por la izquierda con colisión,1
M-521_26,2019,M-521,Salida de la vía por la derecha con vuelco,1
M-521_26,2020,M-521,Caída,1
M-521_27,2016,M-521,Colisión frontal,1
M-521_27,2017,M-521,Colisión frontal,1
M-521_27,2019,M-521,Salida de la vía por la derecha otro tipo,2
M-521_27,2020,M-521,Salida de la vía por la izquierda con colisión,1
M-521_27,2021,M-521,Salida de la vía por la izquierda con despeñamiento,1
M-521_27,2022,M-521,Salida de la vía por la derecha otro tipo,2
M-521_27,2024,M-521,"Salida de la vía por la izquierda, otro tipo",2
M-521_28,2018,M-521,Salida de la vía por la izquierda con vuelco,1
M-521_28,2021,M-521,Salida de la vía por la izquierda con colisión,1
M-521_28,2023,M-521,Salida de la vía por la izquierda con colisión,1
M-521_28,2024,M-521,Salida de la vía por la derecha otro tipo,1
M-521_29,2018,M-521,Salida de la vía por la derecha con vuelco,1
M-521_3,2018,M-521,Salida de la vía por la derecha con vuelco,1
M-521_3,2022,M-521,Salida de la vía por la derecha con vuelco,1
M-521_3,2023,M-521,Salida de la vía por la derecha con despeñamiento,1
M-521_3,2024,M-521,Colisión fronto-lateral,1
M-521_4,2017,M-521,Salida de la vía por la derecha con vuelco,1
M-521_4,2019,M-521,Salida de la vía por la izquierda con vuelco,1
M-521_4,2020,M-521,Colisión frontal,1
M-521_4,2021,M-521,Salida de la vía por la derecha otro tipo,2
M-521_4,2022,M-521,Salida de la vía por la derecha con vuelco,2
M-521_4,2024,M-521,Salida de la vía por la derecha otro tipo,1
M-521_5,2021,M-521,Atropello a personas,1
M-521_5,2023,M-521,Colisión fronto-lateral,1
M-521_6,2016,M-521,Salida de la vía por la derecha con vuelco,1
M-521_6,2019,M-521,Vuelco,1
M-521_6,2021,M-521,Salida de la vía por la derecha otro tipo,1
M-521_6,2022,M-521,"Salida de la vía por la izquierda, otro tipo",1
M-521_6,2023,M-521,Salida de la vía por la derecha otro tipo,2
M-521_6,2024,M-521,Salida de la vía por la derecha otro tipo,1
M-521_7,2017,M-521,Salida de la vía por la derecha otro tipo,1
M-521_7,2018,M-521,Salida de la vía por la derecha con vuelco,1
M-521_7,2019,M-521,Colisión por alcance,1
M-521_7,2020,M-521,Salida de la vía por la derecha otro tipo,1
M-521_7,2021,M-521,Salida de la vía por la derecha otro tipo,3
M-521_7,2022,M-521,Colisión por alcance,1
M-521_7,2023,M-521,Salida de la vía por la derecha con colisión,1
M-521_8,2018,M-521,Colisión lateral,1
M-521_8,2022,M-521,Salida de la vía por la derecha otro tipo,1
M-521_8,2023,M-521,Salida de la vía por la derecha otro tipo,1
M-522_0,2022,M-522,Caída,1
M-522_1,2017,M-522,Salida de la vía por la derecha otro tipo,3
M-522_1,2018,M-522,Colisión frontal,1
M-522_1,2020,M-522,Salida de la vía por la derecha con colisión,1
M-522_1,2021,M-522,Salida de la vía por la derecha otro tipo,1
M-522_1,2022,M-522,Salida de la vía por la derecha otro tipo,1
M-522_2,2020,M-522,Colisión fronto-lateral,1
M-522_2,2024,M-522,Colisión frontal,1
M-522_3,2019,M-522,Salida de la vía por la derecha con colisión,1
M-522_4,2021,M-522,Salida de la vía por la derecha con colisión,1
M-523_0,2023,M-523,Caída,1
M-523_10,2018,M-523,Atropello a personas,1
M-523_10,2023,M-523,Salida de la vía por la izquierda con vuelco,1
M-523_2,2020,M-523,Colisión fronto-lateral,1
M-523_2,2022,M-523,"Salida de la vía por la izquierda, otro tipo",1
M-523_2,2023,M-523,Salida de la vía por la derecha con vuelco,1
M-523_3,2016,M-523,Atropello a personas,1
M-523_4,2022,M-523,Colisión por alcance,1
M-523_5,2017,M-523,Salida de la vía por la derecha otro tipo,1
M-523_6,2023,M-523,Salida de la vía por la derecha con colisión,1
M-523_6,2024,M-523,Caída,1
M-523_7,2018,M-523,Salida de la vía por la derecha otro tipo,1
M-523_7,2021,M-523,Colisión frontal,1
M-523_8,2018,M-523,Atropello a animales,1
M-524_1,2017,M-524,Salida de la vía por la derecha con vuelco,1
M-524_3,2022,M-524,Salida de la vía por la izquierda con vuelco,1
M-524_4,2024,M-524,Colisión fronto-lateral,1
M-527_0,2017,M-527,Salida de la vía por la izquierda con colisión,1
M-527_0,2023,M-527,Salida de la vía por la derecha con colisión,2
M-527_1,2016,M-527,Colisión por alcance,1
M-527_2,2016,M-527,Salida de la vía por la derecha con colisión,1
M-527_2,2019,M-527,Salida de la vía por la derecha con colisión,2
M-527_2,2021,M-527,Colisión por alcance,1
M-527_2,2022,M-527,Salida de la vía por la derecha con colisión,1
M-527_3,2016,M-527,Atropello a animales,1
M-527_3,2017,M-527,Salida de la vía por la derecha con vuelco,1
M-527_3,2019,M-527,Colisión por alcance,1
M-528_0,2016,M-528,Colisión lateral,1
M-528_0,2017,M-528,Colisión fronto-lateral,1
M-528_1,2016,M-528,Salida de la vía por la derecha con colisión,1
M-528_1,2017,M-528,Salida de la vía por la derecha con vuelco,1
M-528_1,2018,M-528,Salida de la vía por la izquierda con colisión,1
M-528_1,2019,M-528,Salida de la vía por la derecha otro tipo,1
M-528_1,2021,M-528,Salida de la vía por la derecha con colisión,1
M-528_1,2023,M-528,Salida de la vía por la derecha con colisión,1
M-528_1,2024,M-528,"Salida de la vía por la izquierda, otro tipo",1
M-528_2,2016,M-528,Salida de la vía por la derecha con colisión,1
M-528_2,2017,M-528,Colisión fronto-lateral,2
M-528_2,2020,M-528,Salida de la vía por la derecha con vuelco,1
M-528_2,2021,M-528,Atropello a animales,1
M-528_3,2017,M-528,Salida de la vía por la derecha con vuelco,1
M-528_3,2018,M-528,Salida de la vía por la derecha otro tipo,1
M-528_3,2019,M-528,Salida de la vía por la derecha con colisión,1
M-528_3,2022,M-528,Salida de la vía por la derecha con vuelco,1
